x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,direction_nrs,line_numbers,geometry,pos
635449.1808,5692640.039,26.23,125152.13,24.66046588,17.96095448,38.0221606,26.99657487,45.39634482,34.79253116,0.077201935,0.273056971,0.615868285,0.311687644,1.064266688,-1.820427663,1,110,POINT (635449.1808 5692640.039),68.79964761288674
635448.5923,5692639.987,26.23,125152.32,24.86046588,17.96095448,38.3221606,26.99657487,45.49634482,35.29253116,0.077201935,0.273056971,0.675868285,0.321687644,1.084266688,-1.600427663,1,110,POINT (635448.5923 5692639.987),69.39044051226944
635447.7,5692639.909,26.23,125152.62,24.36046588,17.46095448,36.6221606,26.09657487,45.69634482,35.19253116,0.087201935,0.233056971,0.835868285,0.311687644,1.054266688,-1.980427663,1,110,POINT (635447.7 5692639.909),70.2861431917767
635447.039,5692639.851,26.23,125152.82,24.36046588,17.76095448,36.9221606,25.89657487,45.79634482,34.39253116,0.087201935,0.223056971,0.745868285,0.301687644,1.014266688,-2.160427663,1,110,POINT (635447.039 5692639.851),70.94968294188551
635446.4351,5692639.798,26.23470496,125153.02,24.76046588,17.76095448,37.0221606,25.89657487,44.99634482,33.89253116,0.077201935,0.253056971,0.705868285,0.311687644,1.114266688,-2.140427663,1,110,POINT (635446.4351 5692639.798),71.55590419680682
635445.8677,5692639.748,26.25334816,125153.2,24.85957631,17.66095448,37.0221606,25.79657487,42.99634482,33.69253116,0.067201935,0.273056971,0.705868285,0.311687644,1.104266688,-1.960427663,1,110,POINT (635445.8677 5692639.748),72.1255029679962
635445.2094,5692639.692,26.27327851,125153.41,24.3533455,17.76095448,34.6221606,25.79657487,42.29634482,33.09253116,0.087201935,0.253056971,0.825868285,0.321687644,0.954266688,-1.820427663,1,110,POINT (635445.2094 5692639.692),72.78618056701477
635444.5537,5692639.637,26.28372843,125153.63,23.72663482,17.76095448,34.9221606,25.69657487,41.99634482,32.89253116,0.087201935,0.233056971,0.695868285,0.321687644,0.934266688,-1.980427663,1,110,POINT (635444.5537 5692639.637),73.44418321896316
635443.9305,5692639.587,26.30073536,125153.83,23.62663482,17.26095448,34.9221606,25.29657487,41.69634482,33.19253116,0.077201935,0.253056971,0.725868285,0.341687644,0.994266688,-1.800427663,1,110,POINT (635443.9305 5692639.587),74.06938577815491
635443.314,5692639.539,26.31581568,125154.03,22.92301567,16.46095448,34.3221606,24.89657487,41.69634482,32.99253116,0.077201935,0.263056971,0.825868285,0.361687644,1.014266688,-1.360427663,1,110,POINT (635443.314 5692639.539),74.68775156799508
635442.9073,5692639.509,26.32307776,125154.17,22.92301567,15.55915396,34.3221606,24.89657487,41.39634482,32.39253116,0.077201935,0.243024352,0.825868285,0.361687644,0.714266688,-1.270427663,1,110,POINT (635442.9073 5692639.509),75.09555653370381
635442.3023,5692639.464,26.33304,125154.36,22.32301567,14.65021539,34.22184187,24.29544368,41.19603854,31.79197749,0.077078768,0.222886814,0.805861657,0.341668307,0.644276209,-1.540309732,1,110,POINT (635442.3023 5692639.464),75.70222777908369
