x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
107748.723,183270.169,70.44950045,39700.05,26.25220683,12.15300891,44.80664034,23.33430911,52.74062893,37.47562834,0.960023039,0.658480461,0.946768177,0.098948701,1.29601269,-2.145304603
107748.556,183270.423,70.4455335,39700.15,25.75220683,11.95300891,44.50664034,23.13430911,52.54062893,37.37562834,0.960023039,0.658480461,0.946768177,0.098948701,1.30601269,-2.125304603
107748.387,183270.68,70.44014545,39700.26,25.25220683,11.65300891,43.90664034,22.53430911,52.34062893,37.37562834,0.960023039,0.658480461,0.946768177,0.098948701,1.30601269,-2.135304603
107748.183,183270.988,70.4348014,39700.36,24.75220683,11.35300891,43.00664034,21.83430911,52.04062893,37.17562834,0.960023039,0.658480461,0.946768177,0.098948701,1.30601269,-2.165304603
107748.046,183271.193,70.42995081,39700.45,24.25220683,11.05300891,42.20664034,21.33430911,51.84062893,37.27562834,0.960023039,0.658480461,0.946768177,0.098948701,1.28601269,-2.205304603
107747.859,183271.474,70.42507931,39700.55,23.75220683,10.85300891,41.70664034,21.03430911,52.04062893,37.67562834,0.960023039,0.658480461,0.946768177,0.078948701,1.26601269,-2.245304603
107747.724,183271.677,70.42507931,39700.65,23.35220683,10.85300891,41.70664034,20.83430911,52.54062893,37.77562834,0.960023039,0.658480461,0.946768177,0.068948701,1.24601269,-2.265304603
107747.502,183272.006,70.4151645,39700.76,23.15220683,10.75300891,41.90664034,20.83430911,52.74062893,37.47562834,0.960023039,0.658480461,0.936768177,0.068948701,1.23601269,-2.265304603
107747.347,183272.238,70.41058182,39700.87,23.25220683,10.75300891,42.10664034,20.93430911,52.84062893,37.27562834,0.960023039,0.658480461,0.936768177,0.068948701,1.22601269,-2.255304603
107746.986,183272.773,70.4,39701.06,23.85220683,11.05300891,42.30664034,21.13430911,53.04062893,37.17562834,0.960023039,0.658480461,0.936768177,0.068948701,1.22601269,-2.245304603
107746.831,183273.003,70.39556934,39701.16,24.15220683,11.35300891,42.40664034,21.53430911,52.94062893,37.17562834,0.960023039,0.658480461,0.936768177,0.068948701,1.24601269,-2.245304603
107746.755,183273.116,70.39556934,39701.21,24.15220683,11.35300891,42.40664034,21.53430911,52.44062893,36.87562834,0.960023039,0.658480461,0.936768177,0.068948701,1.25601269,-2.245304603
107746.599,183273.348,70.38927996,39701.3,24.55220683,11.75300891,42.60664034,22.03430911,51.84062893,36.47562834,0.960023039,0.658480461,0.936768177,0.068948701,1.26601269,-2.275304603
107746.406,183273.635,70.38280182,39701.4,24.85220683,12.05300891,43.00664034,22.73430911,51.04062893,36.27562834,0.960023039,0.658480461,0.946768177,0.048948701,1.26601269,-2.315304603
107746.222,183273.907,70.37678545,39701.5,24.85220683,12.25300891,42.60664034,22.83430911,50.44062893,36.57562834,0.960023039,0.658480461,0.946768177,0.038948701,1.26601269,-2.355304603
107746.058,183274.151,70.37252013,39701.6,24.85220683,12.35300891,42.30664034,22.93430911,50.34062893,37.27562834,0.960023039,0.658480461,0.946768177,0.038948701,1.27601269,-2.375304603
107745.888,183274.405,70.36699136,39701.71,24.95220683,12.55300891,42.60664034,23.23430911,50.74062893,37.77562834,0.960023039,0.658480461,0.946768177,0.038948701,1.27601269,-2.405304603
107745.724,183274.648,70.36081616,39701.8,25.25220683,12.55300891,43.20664034,23.53430911,51.34062893,37.77562834,0.960023039,0.658480461,0.936768177,0.038948701,1.26601269,-2.405304603
107745.534,183274.932,70.34849194,39701.91,25.45220683,12.35300891,43.50664034,23.43430911,51.54062893,37.47562834,0.960023039,0.658480461,0.936768177,0.028948701,1.26601269,-2.355304603
107745.358,183275.195,70.34180476,39702.02,25.55220683,12.05300891,43.40664034,23.13430911,51.04062893,37.07562834,0.960023039,0.658480461,0.936768177,0.038948701,1.27601269,-2.285304603
107745.191,183275.443,70.33698705,39702.1,25.35220683,11.95300891,43.10664034,22.83430911,50.64062893,36.67562834,0.960023039,0.658480461,0.936768177,0.058948701,1.27601269,-2.225304603
107745.054,183275.647,70.33698705,39702.19,25.25220683,12.05300891,42.80664034,22.93430911,50.44062893,36.37562834,0.960023039,0.658480461,0.936768177,0.078948701,1.28601269,-2.135304603
107744.871,183275.92,70.33089568,39702.29,25.15220683,12.15300891,42.70664034,23.13430911,49.94062893,36.37562834,0.960023039,0.668480461,0.936768177,0.088948701,1.27601269,-2.035304603
107744.698,183276.179,70.32412714,39702.39,25.05220683,12.05300891,42.70664034,23.13430911,49.34062893,36.57562834,0.960023039,0.668480461,0.936768177,0.108948701,1.27601269,-1.985304603
107744.546,183276.406,70.31794758,39702.5,24.85220683,11.75300891,42.60664034,23.03430911,49.04062893,36.67562834,0.950023039,0.668480461,0.936768177,0.128948701,1.26601269,-1.975304603
107744.345,183276.707,70.3062575,39702.61,24.75220683,11.65300891,42.50664034,23.03430911,49.04062893,36.67562834,0.950023039,0.668480461,0.936768177,0.128948701,1.25601269,-2.025304603
107744.194,183276.932,70.3062575,39702.71,24.75220683,11.75300891,42.60664034,23.13430911,49.14062893,36.87562834,0.950023039,0.668480461,0.926768177,0.118948701,1.24601269,-2.105304603
107743.654,183277.743,70.28726329,39703.01,25.05220683,12.65300891,41.60664034,24.83430911,48.84062893,37.27562834,0.950023039,0.658480461,0.936768177,0.078948701,1.25601269,-2.235304603
107743.624,183277.788,70.28726329,39703.03,25.05220683,12.65300891,41.60664034,24.83430911,48.44062893,37.67562834,0.950023039,0.658480461,0.936768177,0.078948701,1.27601269,-2.285304603
